# proper	bayer	flam	hr	hd	hip	con	ra_rad	dec_rad	mag	dist_pc
	Bet		4552	103192	57936	Hya	3.1106514	-0.5918084	4.290	94.967
	Zet	16	5903	142105	77055	UMi	4.1192298	1.3577700	4.290	113.122
	Phi	8	6147	148786	80894	Oph	4.3246618	-0.2899469	4.290	74.683
	Iot	33	8418	209819	109139	Aqr	5.7876739	-0.2420716	4.290	53.706
	Bet	17	8576	213398	111188	PsA	5.8970548	-0.5645455	4.290	43.783
Rasalnaqa	Iot	17	8965	222173	116631	And	6.1877882	0.7551703	4.290	153.139
	Alp		280	5737	4577	Scl	0.2557168	-0.5123841	4.300	238.095
	Xi-2	73	718	15318	11484	Cet	0.6464658	0.1476558	4.300	59.207
Taygeta		19	1145	23338	17531	Tau	0.9826562	0.4270346	4.300	125.471
	Del-3	68	1389	27962	20648	Tau	1.1584172	0.3129011	4.300	45.537
	Pi	35	2091	40239	28404	Aur	1.5705127	0.8017473	4.300	230.415
	Eta	7	3454	74280	42799	Hya	2.2829979	0.0593178	4.300	179.856
		54	4259	94601	53417	Leo	2.8606530	0.4319641	4.300	87.951
	Ups	91	4471	100920	56647	Leo	3.0410130	-0.0143771	4.300	55.648
	Eta	8	4775	109085	61174	Crv	3.2815271	-0.2826737	4.300	18.282
	Alp-1	5	7747	192876	100027	Cap	5.3129909	-0.2183095	4.300	174.520
	Del		5339	124882	70638	Oct	3.7826873	-1.4602801	4.310	91.659
Alkalurops	Mu-1	51	5733	137391	75411	Boo	4.0338522	0.6523546	4.310	34.686
	Ome-2	10	5997	144608	78990	Sco	4.2211025	-0.3642286	4.310	89.127
		71	7884	196574	101847	Aql	5.4032690	-0.0192880	4.310	103.413
	Psi	37	1087	22192	16826	Per	0.9446138	0.8411201	4.320	178.891
		54	1496	29755	21763	Eri	1.2236584	-0.3433323	4.320	112.994
		119	1845	36389	25945	Tau	1.4495506	0.3245306	4.320	549.451
	Kap	44	2219	43039	29696	Aur	1.6378966	0.5148386	4.320	54.259
		12	3484	74918	43067	Hya	2.2967470	-0.2364523	4.320	75.132
Alterf	Lam	4	3773	82308	46750	Leo	2.4946012	0.4008667	4.320	100.908
	The-1		4599	104671	58758	Cru	3.1547997	-1.1050191	4.320	72.046
Diadem	Alp	42	4968	114378	64241	Com	3.4469736	0.3059463	4.320	17.825
		3	5210	120709	67669	Cen	3.6295288	-0.5758555	4.320	105.374
	Omi		5528	130807	72683	Lup	3.8905068	-0.7605335	4.320	123.916
	Nu	53	6446	156928	84880	Ser	4.5414675	-0.2242203	4.320	62.305
	Gam	4	2854	58972	36284	CMi	1.9554811	0.1557799	4.330	97.561
	Tau-2		5396	126354	70576	Lup	3.7794239	-0.7920178	4.330	97.847
Guniibuu		36	6401	155885	84405	Oph	4.5175674	-0.4643070	4.330	5.933
	Pi		6745	165040	88866	Pav	4.7498264	-1.1112259	4.330	39.856
	Kap	1	6872	168775	89826	Lyr	4.7990527	0.6294451	4.330	77.160
Alula Australis	Xi	53	4375	98231		UMa	2.9591494	0.5502811	4.330	10.417
	Pi	29	154	3369	2912	And	0.1609228	0.5885136	4.340	183.486
	Eps	30	163	3546	3031	And	0.1682327	0.5115866	4.340	50.226
	The	33	343	6961	5542	Cas	0.3102368	0.9625473	4.340	40.950
	Del		2015	39014	27100	Dor	1.5043576	-1.1473014	4.340	45.872
	Xi-1	4	2387	46328	31125	CMa	1.7097948	-0.4087286	4.340	423.729
	The		3340	71701	40888	Cha	2.1844841	-1.3523592	4.340	47.619
	Ups-2		5260	122223	68523	Cen	3.6727177	-0.7959298	4.340	389.105
	Ome		5797	139127	76552	Lup	4.0930324	-0.7429404	4.340	67.024
	Sig	49	6498	157999	85355	Oph	4.5662817	0.0722629	4.340	276.243
	Zet-1	6	7056	173648	91971	Lyr	4.9077461	0.6563331	4.340	47.870
		111	7069	173880	92161	Her	4.9175576	0.3173274	4.340	28.893
		9	8313	206859	107348	Peg	5.6920056	0.3028149	4.340	284.091
		5	8572	213310	111022	Lac	5.8884371	0.8326422	4.340	505.050
Botein	Del	57	951	19787	14838	Ari	0.8361407	0.3442955	4.350	52.029
	Pi-2	2	1544	30739	22509	Ori	1.2680342	0.1553374	4.350	68.823
		15	2560	50522	33449	Lyn	1.8207131	1.0196695	4.350	54.675
	Eps		3223	68520	39794	Vol	2.1289979	-1.1975937	4.350	172.414
	Rho	13	3492	75137	43234	Hya	2.3057232	0.1018890	4.350	108.578
	Gam	15	4737	108381	60742	Com	3.2591318	0.4933771	4.350	51.282
		2	5686	135758	74857	Lup	4.0047918	-0.5261936	4.350	99.900
Yildun	Del	23	6789	166205	85822	UMi	4.5911543	1.5112188	4.350	52.770
	Xi		6855	168339	90098	Pav	4.8137359	-1.0732710	4.350	143.678
	The	21	7314	180809	94713	Lyr	5.0456083	0.6655592	4.350	255.102
	Iot	9	8305	206742	107380	PsA	5.6939044	-0.5764086	4.350	62.617
	Bet-1		126	2884	2484	Tuc	0.1376344	-1.0988282	4.360	41.408
	Eta		191	4150	3405	Phe	0.1891676	-1.0029196	4.360	75.529
	Xi-1	65	649	13611	10324	Cet	0.5803217	0.1544043	4.360	117.509
	Sig	35	1052	21552	16335	Per	0.9188055	0.8376745	4.360	110.254
		37	1256	25604	19038	Tau	1.0676842	0.3854023	4.360	57.372
	Ome	61	1560	31109	22701	Eri	1.2779933	-0.0951675	4.360	72.046
	Kap	4	1705	33949	24327	Lep	1.3667294	-0.2258681	4.360	223.214
	Gam		2106	40494	28199	Col	1.5600488	-0.6158094	4.360	266.667
	Iot	20	2596	51309	33347	CMa	1.8157405	-0.2976527	4.360	769.231
	Zet	29	3188	67594	39863	Mon	2.1318941	-0.0520769	4.360	324.675
	Chi		5285	122980	68862	Cen	3.6915729	-0.7187202	4.360	156.494
	Iot	41	7447	184930	96468	Aql	5.1344152	-0.0224554	4.360	119.904
		30	9089	224935	154	Psc	0.0085535	-0.1049654	4.370	132.450
	Kap		2256	43785	29807	Col	1.6430192	-0.6133178	4.370	55.960
	Tau	30	2782	57061	35415	CMa	1.9142253	-0.4355360	4.370	917.431
Ramus		102	6787	166182	88886	Her	4.7506038	0.3632825	4.370	280.899
	The-1		7623	189103	98412	Sgr	5.2348371	-0.6156877	4.370	158.982
	The	51	4963	114330	64238	Vir	3.4468065	-0.0966740	4.380	96.805
	Kap	1	7750	192907	99255	Cep	5.2747721	1.3563201	4.380	96.525
		99	8906	220704	115669	Aqr	6.1350351	-0.3602711	4.380	86.881
	Bet		8937	221507	116231	Scl	6.1652479	-0.6600533	4.380	53.362
	Psi		555	11695	8837	Phe	0.4958746	-0.8081340	4.390	104.822
	Phi-1	37	1876	36822	26176	Ori	1.4609305	0.1656244	4.390	333.333
	Chi-1	54	2047	39587	27913	Ori	1.5462882	0.3538860	4.390	8.663
	Eps	8	2298	44769	30419	Mon	1.6745042	0.0801606	4.390	37.495
Yunü		31	3980	87837	49637	Leo	2.6524839	0.1744894	4.390	90.580
		110	5601	133165	73620	Vir	3.9396472	0.0365001	4.390	59.916
	Iot	25	6281	152614	82673	Oph	4.4244440	0.1774190	4.390	75.188
	Xi	40	6445	156897	84893	Oph	4.5422458	-0.3684902	4.390	17.355
Sham	Alp	5	7479	185758	96757	Sge	5.1491424	0.3144017	4.390	130.378
	Bet	6	7488	185958	96837	Sge	5.1532983	0.3050145	4.390	134.771
	The		8140	202730	105319	Ind	5.5844679	-0.9328685	4.390	30.285
Kui	Eta	38	271	5516	4463	And	0.2496113	0.4087151	4.400	70.422
	Omi		3034	63462	38070	Pup	2.0424111	-0.4526890	4.400	434.783
		16	3192	67797	39906	Pup	2.1337841	-0.3358889	4.400	142.653
	Kap		7107	174694	93015	Pav	4.9608829	-1.1734458	4.400	153.374
	Del		8368	208450	108431	Ind	5.7505003	-0.9598015	4.400	57.670
	Tau	46	2697	54719	34693	Gem	1.8812012	0.5278777	4.410	98.425
Maasym	Lam	76	6526	158899	85693	Her	4.5847115	0.4557167	4.410	113.250
	Nu	94	6707	164136	87998	Her	4.7058549	0.5269023	4.410	263.852
	Ups	66	8146	202904	105138	Cyg	5.5759688	0.6090658	4.410	196.850
	Pi	33	8819	218658	114222	Cep	6.0558446	1.3157600	4.410	75.643
	Psi-2	93	8858	219688	115033	Aqr	6.0995050	-0.1602651	4.410	123.153
	Gam		8863	219784	115102	Scl	6.1035210	-0.5677910	4.410	55.866
	Nu	67	2159	41753	29038	Ori	1.6038358	0.2577585	4.420	158.228
	Nu-3	8	2443	47442	31700	CMa	1.7361242	-0.3183040	4.420	129.199
		27	2745	56014	34981	CMa	1.8947885	-0.4599380	4.420	531.915
		60	4300	95608	53954	Leo	2.8899580	0.3522047	4.420	38.865
Solitaire		58	5526	130694	72571	Hya	3.8846177	-0.4880005	4.420	101.523
	Lam	27	5868	141004	77257	Ser	4.1296391	0.1283353	4.420	12.124
		68	6723	164577	88290	Oph	4.7200392	0.0227779	4.420	89.686
	Bet	3	8538	212496	110538	Lac	5.8623885	0.9115688	4.420	52.111
Alkarab	Ups	68	8905	220657	115623	Peg	6.1321252	0.4084786	4.420	52.247
	Pi	26	1162	23614	17593	Eri	0.9867317	-0.2112126	4.430	147.493
Keid	Omi-2	40	1325	26965	19849	Eri	1.1138351	-0.1335678	4.430	4.984
		7	1568	31278	23040	Cam	1.2971582	0.9381511	4.430	114.025
Aladfar	Eta	20	7298	180163	94481	Lyr	5.0342195	0.6832260	4.430	425.532
		62	7650	189763	98688	Sgr	5.2475853	-0.4836280	4.430	137.552
		39	7806	194317	100587	Cyg	5.3400979	0.5618245	4.430	76.628
	Del	11	7928	197461	102281	Del	5.4256130	0.2631011	4.430	68.446
		3	7951	198026	102624	Aqr	5.4442809	-0.0877499	4.430	179.533
		7	48	1038	1170	Cet	0.0638803	-0.3304408	4.440	137.174
	Del	63	224	4656	3786	Psc	0.2124170	0.1323846	4.440	95.420
	Eps		1355	27442	19921	Ret	1.1191237	-1.0350179	4.440	18.238
	Alp		1502	29875	21770	Cae	1.2241842	-0.7306603	4.440	20.165
		2	2238	43378	30060	Lyn	1.6564184	1.0299356	4.440	48.008
	Sig		5425	127381	71121	Lup	3.8075133	-0.8806435	4.440	176.367
Anser	Alp	6	7405	183439	95771	Vul	5.0994403	0.4304838	4.440	91.158
	Nu	106	489	10380	7884	Psc	0.4425787	0.0957769	4.450	111.359
	Bet		841	17652	13147	For	0.7377950	-0.5655896	4.450	52.938
	Iot	3	1696	33802	24244	Lep	1.3626587	-0.2071569	4.450	71.073
	Xi	70	2199	42560	29426	Ori	1.6228941	0.2479897	4.450	186.220
Minchir	Sig	5	3418	73471	42402	Hya	2.2635057	0.0583190	4.450	114.286
	Del-2		4234	93845	52633	Cha	2.8177696	-1.4056915	4.450	107.527
	Phi	74	4368	98058	55084	Leo	2.9524936	-0.0637325	4.450	56.465
	Ome	9	6153	148898	80975	Oph	4.3290127	-0.3746592	4.450	51.706
	Tau	60	7352	181984	94648	Dra	5.0420544	1.2802944	4.450	44.883
	Mu	38	7429	184406	96229	Aql	5.1229305	0.1287868	4.450	32.992
	Iot		707	15089	11569	Cas	0.6504240	1.1763951	4.460	40.733
		32	1211	24554	18255	Eri	1.0222904	-0.0515698	4.460	95.969
	Rho	17	1698	33856	24331	Ori	1.3669914	0.0499385	4.460	107.296
		15	3619	78209	44901	UMa	2.3949048	0.9006710	4.460	28.818
	Bet	11	4343	97277	54682	Crt	2.9306615	-0.3983862	4.460	104.275
	Eps		6115	147971	80582	Nor	4.3074028	-0.8299876	4.460	162.602
	Gam	22	8695	216336	112948	PsA	5.9887729	-0.5737858	4.460	66.050
	Tau-1	1	818	17206	12843	Eri	0.7203973	-0.3241524	4.470	14.221
	Pi-6	10	1601	31767	23123	Ori	1.3026630	0.0299152	4.470	289.855
	Lam		2361	45813	30788	CMa	1.6937118	-0.5686295	4.470	129.870
		13	2385	46300	31216	Mon	1.7143662	0.1279844	4.470	0.000
	Kap	1	3731	81146	46146	Leo	2.4637694	0.4569678	4.470	61.728
		26	3799	82621	47006	UMa	2.5081441	0.9084697	4.470	80.386
	Sig	28	5447	128167	71284	Boo	3.8165115	0.5191505	4.470	15.833
		16	5570	132052	73165	Lib	3.9147008	-0.0758601	4.470	26.903
	Del	7	8123	202275	104858	Equ	5.5609691	0.1746548	4.470	18.488
	Lam		8411	209688	109111	Gru	5.7862675	-0.6901617	4.470	74.239
	Omi	22	193	4180	3504	Cas	0.1951505	0.8427211	4.480	215.517
	Gam		1264	25705	18744	Ret	1.0511104	-1.0848842	4.480	143.885
		71	1394	28052	20713	Tau	1.1621521	0.2725902	4.480	49.092
		18	2506	49293	32578	Mon	1.7796286	0.0421001	4.480	112.867
	Alp	15	3981	87887	49641	Sex	2.6526300	-0.0064863	4.480	86.881
	Gam		5704	136415	75323	Cir	4.0289945	-1.0353431	4.480	137.552
	Psi	4	6104	147700	80343	Oph	4.2939597	-0.3497173	4.480	61.162
Fumalsamakah	Bet	4	8773	217891	113889	Psc	6.0383021	0.0666724	4.480	125.156
		86	8789	218240	114119	Aqr	6.0505360	-0.4143955	4.480	66.313
		48	575	12111	9480	Cas	0.5321449	1.2375610	4.490	35.261
	Ups-1	50	1453	29085	21248	Eri	1.1934098	-0.5195233	4.490	38.956
		30	2478	48433	32249	Gem	1.7627311	0.2308725	4.490	88.574
		21	3974	87696	49593	LMi	2.6504101	0.6151359	4.490	28.241
	Pi-1	29	5475	129174	71762	Boo	3.8428926	0.2865538	4.490	93.721
	The	13	7469	185395	96441	Cyg	5.1331979	0.8765236	4.490	18.335
		24	8080	200914	104234	Cap	5.5288881	-0.4364345	4.490	139.860
	Mu-1	78	8309	206826	107310	Cyg	5.6903956	0.5016536	4.490	22.237
	Lam	18	8984	222603	116928	Psc	6.2048496	0.0310676	4.490	32.690
	Ome-2	105	8988	222661	116971	Aqr	6.2077974	-0.2538565	4.490	45.537
	Eps		9076	224686	118322	Tuc	6.2828172	-1.1445369	4.490	114.416
	Ome	47	1934	37490	26594	Ori	1.4799771	0.0719332	4.500	423.729
	Gam		2042	39523	27530	Pic	1.5264086	-0.9802932	4.500	54.200
		93	4527	102509	57565	Leo	3.0891703	0.3528869	4.500	71.327
	Tau	4	5185	120136	67275	Boo	3.6096141	0.3046805	4.500	15.618
		23	7744	192806	99874	Vul	5.3047928	0.4854501	4.500	103.842
	Nu	13	8093	201381	104459	Aqr	5.5396493	-0.1984735	4.500	48.852
		36	8213	204381	106039	Cap	5.6231159	-0.3806071	4.500	52.466
	Mu	14	8431	210049	109285	PsA	5.7961657	-0.5757574	4.500	41.649
		11	8632	214868	111944	Lac	5.9363620	0.7727673	4.500	102.041
	Sig	25	68	1404	1473	And	0.0799700	0.6420233	4.510	41.322
	Tau	83	352	7106	5586	Psc	0.3126779	0.5251633	4.510	51.760
	Tau	29	1995	38656	27483	Aur	1.5235592	0.6838387	4.510	63.411
	Eps		3765	82150	46515	Ant	2.4838015	-0.6274692	4.510	217.865
	Iot	21	5842	140159	76852	Ser	4.1082911	0.3433133	4.510	58.275
	Rho	67	7685	190940	98702	Dra	5.2482819	1.1846172	4.510	131.406
	Eta		7920	197157	102333	Ind	5.4281396	-0.9061919	4.510	24.172
	Eps	39	8260	205637	106723	Cap	5.6595814	-0.3397460	4.510	323.625
	Del		8540	212581	110838	Tuc	5.8788444	-1.1338768	4.510	76.923
	Rho	7	9045	224014	117863	Cas	6.2586805	1.0035535	4.510	0.000
Lilii Borea		39	824	17361	13061	Ari	0.7326404	0.5104585	4.520	52.604
Khambalia	Lam	100	5359	125337	69974	Vir	3.7485739	-0.2333696	4.520	57.175
	Psi	43	5616	133582	73745	Boo	3.9463897	0.4703252	4.520	75.415
	Eps		6783	166063	89112	Tel	4.7613867	-0.8020559	4.520	128.205
	Ups	46	7342	181615	95176	Sgr	5.0689905	-0.2784676	4.520	546.448
	Bet-2		127	2885	2487	Tuc	0.1376924	-1.0989564	4.530	51.653
	Nu	35	226	4727	3881	And	0.2173548	0.7169622	4.530	189.394
	Kap-2	17	5329	124675	69483	Boo	3.7240225	0.9039054	4.530	50.100
	Lam	54	7963	198183	102589	Cyg	5.4428482	0.6368832	4.530	235.849
Honores		7	8830	219080	114570	And	6.0761438	0.8623010	4.530	24.588
	Xi-2	5	2414	46933	31416	CMa	1.7237590	-0.4008112	4.540	135.318
	Tau-2	32	3787	82446	46776	Hya	2.4957429	-0.0206763	4.540	158.730
	Xi	37	5544	131156	72659	Boo	3.8894207	0.3333659	4.540	6.712
	Iot-1	24	5652	134759	74392	Lib	3.9803173	-0.3454305	4.540	116.414
	Phi-2		5712	136664	75304	Lup	4.0280274	-0.6433020	4.540	159.236
	Gam-1		1652	32831	23595	Cae	1.3282236	-0.6192948	4.550	55.586
	Phi	30	3894	85235	48402	UMa	2.5835496	0.9436006	4.550	156.006
	Omi	19	6081	147084	80079	Sco	4.2788333	-0.4218342	4.550	269.542
	Del		1247	25422	18597	Ret	1.0417247	-1.0716354	4.560	161.290
	Tau-1		5395	126341	70574	Lup	3.7792361	-0.7892627	4.560	334.448
	Sig	1	6537	159217	86092	Ara	4.6061854	-0.8116773	4.560	116.009
Cujam	Ome	24	6117	148112	80463	Her	4.2996879	0.2449268	4.570	76.687
	Rho	5	6112	147933	80473	Oph	4.3004271	-0.4092305	4.570	110.742
Dziban	Psi-1	31	6636	162003	86614	Dra	4.6335817	1.2592349	4.570	22.836
	Del		7242	177873	94005	CrA	5.0106193	-0.7068008	4.570	54.734
	Mu	57	6567	159975	86284	Oph	4.6157205	-0.1416993	4.580	231.482
Salm	Tau	62	8880	220061	115250	Peg	6.1114333	0.4143470	4.580	49.579
	Mu		180	3919	3245	Phe	0.1803186	-0.8043351	4.590	75.358
	Gam		1148	23401	17959	Cam	1.0051269	1.2449829	4.590	110.011
	Psi-2	30	1811	35715	25473	Ori	1.4260960	0.0540297	4.590	348.432
	Pi-2	4	3403	73108	42527	UMa	2.2698635	1.1227343	4.590	78.493
	Tau-1	31	3759	81997	46509	Hya	2.4833779	-0.0483275	4.590	17.334
	Del	10	5889	141714	77512	CrB	4.1433863	0.4549793	4.590	52.138
	Eps-2	5	7053	173607	91926	Lyr	4.9060317	0.6913724	4.590	47.687
	Del		9016	223352	117452	Scl	6.2348643	-0.4909658	4.590	42.141
	Ups-2	40	3970	87504	49402	Hya	2.6403538	-0.2280207	4.600	96.154
	Iot		4273	94890	53502	Ant	2.8654699	-0.6481763	4.600	58.275
	Omi	35	5502	129972	72125	Boo	3.8625926	0.2960825	4.600	74.516
	Chi	1	5914	142373	77760	Her	4.1568253	0.7409188	4.600	15.893
	Pi	58	7371	182564	95081	Dra	5.0643695	1.1469349	4.600	70.175
	The	24	63	1280	1366	And	0.0745769	0.6751219	4.610	94.697
	Xi	111	549	11559	8833	Psc	0.4954808	0.0556330	4.610	54.915
	Ome	28	947	19656	14817	Per	0.8346591	0.6913525	4.610	88.339
Castula	Ups-2	28	265	5395	4422	Cas	0.2472518	1.0329043	4.620	61.275
	Tau-9	36	1240	25267	18673	Eri	1.0468690	-0.4191620	4.620	100.402
	Iot	102	1620	32301	23497	Tau	1.3225046	0.3768159	4.620	52.966
	Ups	36	1855	36512	25923	Ori	1.4483222	-0.1274359	4.620	877.193
	Kap		3628	78541	44824	Pyx	2.3913104	-0.4513166	4.620	171.821
	Chi	63	4310	96097	54182	Leo	2.9016847	0.1280375	4.620	28.994
	Lam		4897	112078	63007	Cru	3.3800628	-1.0323047	4.620	117.647
	Ups	3	6129	148367	80628	Oph	4.3101042	-0.1461143	4.620	40.950
	Zet	57	6710	164259	88175	Ser	4.7144987	-0.0644073	4.620	23.552
	The		6951	170845	90982	CrA	4.8585733	-0.7384926	4.620	170.940
Alya	The-1	63	7141	175638	92946	Ser	4.9576937	0.0733666	4.620	47.416
	Eps	48	887	18519	13914	Ari	0.7819603	0.3724607	4.630	101.937
	Iot-1		5961	143474	78662	Nor	4.2042183	-1.0083651	4.630	39.386
	Nu		6916	169978	90797	Pav	4.8492829	-1.0869614	4.630	134.589
	Omi	47	7125	175306	92512	Dra	4.9357949	1.0365223	4.630	104.822
	Psi	84	9064	224427	118131	Peg	6.2734063	0.4388002	4.630	145.985
	Tau-8	33	1213	24587	18216	Eri	1.0197596	-0.4295644	4.640	115.607
	Pi-1	7	1570	31295	22845	Ori	1.2867242	0.1771655	4.640	35.663
	Chi-2	62	2135	41117	28716	Ori	1.5878994	0.3514823	4.640	552.486
	Zet-1	7	5833	139891	76669	CrB	4.0988094	0.6394155	4.640	145.138
	Nu	32	7387	182835	95585	Aql	5.0898956	0.0059092	4.640	869.565
	Zet	4	7871	196180	101589	Del	5.3900519	0.2561133	4.640	67.476
	Rho	86	1444	28910	21273	Tau	1.1948899	0.2590841	4.650	48.520
	Pi	8	4589	104321	58590	Vir	3.1454026	0.1154417	4.650	117.786
	Eta		5962	143546	78639	Nor	4.2028171	-0.8592203	4.650	67.295
	Chi	84	351	7087	5571	Psc	0.3117753	0.3671239	4.660	117.647
	Chi	53	531	11171	8497	Cet	0.4781551	-0.1865130	4.660	23.186
	Pi	19	2590	51199	33302	CMa	1.8135010	-0.3514482	4.660	29.586
Asellus Borealis	Gam	43	3449	74198	42806	Cnc	2.2832652	0.3746960	4.660	55.556
	Ome	45	4248	94334	53295	UMa	2.8535211	0.7538069	4.660	75.529
	Chi	26	4813	110014	61740	Vir	3.3128362	-0.1395489	4.660	90.009
	Psi-1	3	5820	139521	76705	Lup	4.1005040	-0.6006014	4.660	67.340
	Gam-1		6742	164975	88567	Sgr	4.7342947	-0.5162699	4.660	266.667
	Zet		6884	169156	90135	Sct	4.8156240	-0.1559344	4.660	63.371
	Phi	85	360	7318	5742	Psc	0.3217912	0.4290667	4.670	136.799
	Sig-2	92	1479	29488	21683	Tau	1.2185671	0.2778211	4.670	47.687
	The	18	2155	41695	28910	Lep	1.5976543	-0.2606694	4.670	52.966
Tegmine	Zet-2	16	3210	68255	40167	Cnc	2.1476804	0.3080117	4.670	25.081
	Tau	14	3624	78362	45075	UMa	2.4038266	1.1085220	4.670	38.730
	Gam		6930	170296	90595	Sct	4.8397874	-0.2542214	4.670	97.943
	Eps-1	4	7051	173582	91919	Lyr	4.9058546	0.6923743	4.670	49.776
Alsafi	Sig	61	7462	185144	96100	Dra	5.1153372	1.2158169	4.670	5.755
	Gam		8039	199951	103738	Mic	5.5034202	-0.5630042	4.670	70.225
	Chi	39	442	9408	7294	Cas	0.4098543	1.0337941	4.680	63.816
	Eta-2		570	11977	8928	Hyi	0.5014956	-1.1806682	4.680	67.069
	Nu		612	12767	9677	For	0.5431928	-0.5113259	4.680	113.766
	Pi	22	879	18411	13879	Per	0.7799924	0.6922452	4.680	94.967
	Pi	29	3950	86663	49029	Leo	2.6189252	0.1403982	4.680	124.533
	Del-1		6020	145366	80047	Aps	4.2775714	-1.3734999	4.680	233.645
	Phi	12	7478	185734	96683	Cyg	5.1460019	0.5262747	4.680	81.633
Bunda	Xi	23	8264	205767	106786	Aqr	5.6625105	-0.1370817	4.680	54.764
	Pi	73	1396	28100	20732	Tau	1.1632890	0.2568039	4.690	127.714
	Lam	15	1729	34411	24813	Aur	1.3925096	0.6998605	4.690	12.631
	Iot		4842	110829	62268	Cru	3.3407043	-1.0643248	4.690	36.805
Azelfafage	Pi-1	80	8301	206672	107136	Cyg	5.6814585	0.8934274	4.690	529.101
	Eps		8387	209100	108870	Ind	5.7741127	-0.9911023	4.690	3.622
	Iot		8949	221760	116389	Phe	6.1744335	-0.7437734	4.690	76.278
	The	21	4468	100889	56633	Crt	3.0398482	-0.1710815	4.700	85.984
	Omi		4494	101431	56922	Hya	3.0552566	-0.6064087	4.700	137.552
	Zet-1		6262	152236	82671	Sco	4.4243898	-0.7393568	4.700	787.402
	Del		7020	172748	91726	Sct	4.8968431	-0.1579968	4.700	62.073
Terebellum	Ome	58	7597	188376	98066	Sgr	5.2178323	-0.4590130	4.700	25.988
	Gam	5	8097	201601	104521	Equ	5.5429111	0.1768294	4.700	36.298
	Lam	91	896	18604	13954	Cet	0.7841547	0.1554628	4.710	176.678
	Kap		1083	22001	16245	Ret	0.9135642	-1.0984671	4.710	21.683
	Omi-1	4	1556	30959	22667	Ori	1.2764147	0.2487206	4.710	199.601
	Zet		1674	33262	23693	Dor	1.3330441	-1.0030879	4.710	11.646
	Chi	25	1843	36371	25984	Aur	1.4517993	0.5618568	4.710	0.000
	The		3718	80874	45902	Pyx	2.4499762	-0.4531824	4.710	154.083
	Lam		3733	81169	46026	Pyx	2.4574426	-0.5032460	4.710	58.893
	Zet	27	4514	102070	57283	Crt	3.0751083	-0.3202797	4.710	108.225
Libertas	Xi	59	7595	188310	97938	Aql	5.2108900	0.1476802	4.710	56.275
	Eps		8135	202627	105140	Mic	5.5760563	-0.5615167	4.710	55.866
	Psi	36	399	8491	6692	Cas	0.3749511	1.1890930	4.720	59.809
	Ups	31	2011	38944	27639	Aur	1.5317033	0.6511051	4.720	160.256
	Del		2212	42933	29276	Pic	1.6157321	-0.9593838	4.720	398.406
	The-2		4603	104841	58867	Cru	3.1604442	-1.1024496	4.720	261.780
	Ups	6	5982	144206	78592	Her	4.2009991	0.8034921	4.720	113.895
	Kap	43	8288	206453	107188	Cap	5.6839194	-0.3292795	4.720	90.171
	Del		5980	144197	78914	Nor	4.2171106	-0.7884208	4.730	37.509
	Tau	16	6018	145328	79119	CrB	4.2279368	0.6368871	4.730	35.778
	Mu	6	7990	198743	103045	Aqr	5.4657337	-0.1567885	4.730	48.216
	Lam	14	123	2772	2505	Cas	0.1386331	0.9515935	4.740	115.741
	Ups	90	383	7964	6193	Psc	0.3467382	0.4758476	4.740	94.429
	Sig	76	740	15798	11783	Cet	0.6636055	-0.2660698	4.740	26.695
	Rho	8	3576	76827	44390	UMa	2.3673001	1.1803595	4.740	96.432
	Rho	38	5899	141992	77661	Ser	4.1506774	0.3661338	4.740	114.942
	Zet		7188	176638	93542	CrA	4.9877776	-0.7346982	4.740	59.207
	Omi	31	8402	209409	108874	Aqr	5.7740469	-0.0376182	4.740	133.511
	Mu		4530	102584	57581	Mus	3.0902878	-1.1661402	4.750	131.752
	Iot	21	5350	125161	69713	Boo	3.7357305	0.8965273	4.750	29.070
	Kap	43	5838	139997	76880	Lib	4.1100176	-0.3434603	4.750	94.607
	Psi-2	4	5839	140008	76945	Lup	4.1132337	-0.6058109	4.750	111.483
	Phi-1		7848	195627	101612	Pav	5.3912354	-1.0573510	4.750	27.793
	Omi	34	8872	219916	115088	Cep	6.1026484	1.1887690	4.750	62.267
	Lam-1		125	2834	2472	Phe	0.1370766	-0.8517820	4.760	52.966
	Nu		872	18293	13244	Hyi	0.7438387	-1.3101654	4.760	104.058
Angetenar	Tau-2	2	850	17824	13288	Eri	0.7462972	-0.3665893	4.760	57.307
	Zet		6417	156277	84969	Aps	4.5465473	-1.1828213	4.760	91.158
	Lam		6569	160032	86486	Ara	4.6268528	-0.8624647	4.760	21.450
	Phi-1	17	194	4188	3455	Cet	0.1928153	-0.1851716	4.770	71.633
	Psi	40	4902	112142	62985	Vir	3.3787511	-0.1664869	4.770	166.945
	Ome	28	6596	160922	86201	Dra	4.6118210	1.2000530	4.770	23.164
	Tau	69	6733	164764	88404	Oph	4.7258367	-0.1427740	4.770	51.335
Alshat	Nu	8	7773	193432	100310	Cap	5.3261497	-0.2226879	4.770	77.640
	Rho	11	7822	194943	101027	Cap	5.3619143	-0.3109075	4.770	30.266
	The		9084	224889	122	Oct	0.0069681	-1.3450506	4.780	66.578
	The		3871	84367	47758	Ant	2.5490606	-0.4846687	4.780	104.058
	Sig	60	5015	115521	64852	Vir	3.4802071	0.0954672	4.780	207.039
	Iot-2		6631	161912	87294	Sco	4.6695638	-0.6997101	4.780	781.250
