# Bright NGC / IC deep-sky object catalog (V <= 11.5 mag, plus large
# diffuse nebulae lacking integrated photometry).
#
# Source: OpenNGC (https://github.com/mattiaverga/OpenNGC) main NGC.csv
# and addendum.csv. Filter rules (see scripts/extract-openngc-bright.py):
#   - exclude Messier objects (covered by messier.csv);
#   - exclude OpenNGC types {*, **, *Ass, NonEx, Other};
#   - keep min(V-Mag, B-Mag - 0.6) <= 11.5 mag when photometry present;
#   - keep emission/reflection/diffuse nebulae (EmN/RfN/Neb/HII/Cl+N/SNR)
#     with major-axis >= 30 arcmin even when integrated magnitude is missing
#     (sentinel mag = 99.00; renderer treats them as faint until the
#     density slider is opened).
#
# Columns: name, ra_hours (J2000), dec_deg (J2000), mag, type, size_arcmin.
# Position units mirror crates/catalog/data/messier.csv. The renderer build
# script compacts this CSV into the i16 binary `openngc_bright.bin`.
#
# Type codes (normalised from OpenNGC):
#   OC  open cluster        GC  globular cluster
#   G   galaxy              N   diffuse / emission / reflection nebula
#   PN  planetary nebula    SNR supernova remnant
#   Other  anything else
name,ra_hours,dec_deg,mag,type,size_arcmin
NGC2855,9.357636,-11.9095,11.05,G,3.45
NGC2859,9.405147,34.5135,10.94,G,3.19
NGC2865,9.391725,-23.1614,11.48,G,2.44
NGC2867,9.356936,-58.3117,9.10,PN,0.23
NGC2903,9.536142,21.5008,8.91,G,11.94
NGC2910,9.508061,-52.9140,6.89,OC,4.80
NGC2925,9.553033,-53.3960,8.30,OC,7.50
NGC2935,9.612458,-21.1281,11.19,G,4.21
NGC2950,9.709764,58.8513,11.03,G,2.62
NGC2964,9.715064,31.8474,11.37,G,2.92
NGC2972,9.669867,-50.3209,9.90,OC,3.60
NGC2974,9.709244,-3.6991,10.89,G,3.48
NGC2976,9.787628,67.9164,10.16,G,5.77
NGC2985,9.839508,72.2786,10.51,G,3.61
NGC2986,9.737789,-21.2780,10.64,G,4.81
NGC2997,9.760775,-31.1911,9.41,G,10.26
NGC3033,9.809733,-56.4301,8.64,OC,4.80
NGC3054,9.907944,-25.7034,11.48,G,3.56
NGC3059,9.835600,-73.9222,11.14,G,3.80
NGC3065,10.032006,72.1703,11.16,G,1.87
NGC3077,10.055297,68.7339,9.88,G,5.21
NGC3078,9.973503,-26.9267,11.16,G,3.04
NGC3079,10.032722,55.6798,10.71,G,8.18
NGC3087,9.985739,-34.2252,11.43,G,2.28
NGC3091,10.003969,-19.6370,11.00,G,3.69
NGC3100,10.011344,-31.6645,11.37,G,3.56
NGC3105,10.010978,-54.7877,9.70,OC,4.08
NGC3108,10.041397,-31.6774,11.47,G,2.54
NGC3109,10.051911,-26.1596,9.79,G,16.00
NGC3114,10.041547,-60.1305,3.87,OC,12.30
NGC3115,10.087217,-7.7186,9.09,G,7.10
NGC3132,10.117147,-40.4366,7.60,PN,0.50
NGC3136,10.096711,-67.3780,10.67,G,4.20
NGC3147,10.281569,73.4008,10.66,G,4.11
NGC3166,10.229333,3.4247,10.62,G,4.50
NGC3169,10.237514,3.4661,10.65,G,4.34
NGC3175,10.245031,-28.8721,11.26,G,5.25
NGC3184,10.304683,41.4241,9.81,G,7.40
NGC3189,10.301564,21.8323,11.05,G,3.64
NGC3193,10.306917,21.8940,11.02,G,2.36
NGC3195,10.155828,-80.8586,10.90,PN,0.70
NGC3198,10.331931,45.5496,10.30,G,6.46
NGC3201,10.293544,-46.4112,8.24,GC,9.60
NGC3211,10.297364,-62.6701,10.70,PN,0.27
NGC3223,10.359744,-34.2668,10.96,G,4.28
NGC3227,10.391828,19.8651,10.95,G,3.98
NGC3228,10.356178,-51.7226,5.55,OC,6.60
NGC3239,10.418025,17.1636,11.08,G,3.61
NGC3242,10.412800,-18.6422,7.70,PN,0.42
NGC3245,10.455108,28.5074,10.75,G,3.61
NGC3247,10.403889,-57.7633,7.39,N,5.00
NGC3250,10.442300,-39.9439,11.02,G,2.96
NGC3255,10.442044,-60.6752,10.94,OC,4.80
NGC3256,10.464242,-43.9037,11.50,G,3.29
NGC3258,10.481547,-35.6055,11.41,G,2.94
NGC3261,10.483739,-44.6568,11.41,G,3.65
NGC3268,10.500183,-35.3255,11.41,G,3.50
NGC3293,10.596881,-58.2245,4.24,OC,5.10
NGC3301,10.615567,21.8821,11.41,G,3.63
NGC3310,10.646072,53.5034,10.68,G,1.80
NGC3311,10.611894,-27.5283,11.32,G,2.63
NGC3318,10.620975,-41.6276,11.50,G,2.52
NGC3319,10.652628,41.6867,11.17,G,3.63
NGC3324,10.621169,-58.6196,6.31,OC,4.80
NGC3330,10.645953,-54.1307,6.95,OC,5.10
NGC3338,10.702094,13.7470,10.84,G,1.23
NGC3344,10.725319,24.9222,9.90,G,6.70
NGC3348,10.786111,72.8397,10.92,G,2.13
NGC3359,10.776906,63.2242,10.47,G,4.07
NGC3366,10.585633,-43.6918,11.49,G,2.72
NGC3367,10.776375,13.7509,11.42,G,2.88
NGC3372,10.752369,-59.8667,2.40,N,120.00
NGC3377,10.795092,13.9859,10.27,G,3.87
NGC3384,10.804692,12.6293,9.96,G,5.24
NGC3412,10.848133,13.4121,10.53,G,3.96
NGC3414,10.854503,27.9751,11.09,G,2.67
NGC3423,10.853981,5.8400,11.01,G,3.56
NGC3432,10.875314,36.6188,11.06,G,7.41
NGC3486,11.006631,28.9751,10.47,G,5.82
NGC3489,11.005158,13.9012,10.23,G,3.44
NGC3496,10.992725,-60.3369,8.20,OC,6.00
NGC3504,11.053114,27.9725,11.02,G,2.48
NGC3507,11.057044,18.1354,11.47,G,2.92
NGC3511,11.056603,-23.0868,10.94,G,6.04
NGC3513,11.062800,-23.2455,11.34,G,2.81
NGC3519,11.067436,-61.3683,7.45,OC,4.80
NGC3521,11.096828,-0.0359,9.11,G,8.32
NGC3532,11.096617,-58.7705,2.68,OC,12.00
NGC3557,11.166011,-37.5392,10.42,G,4.36
NGC3572,11.172000,-60.2484,6.22,OC,4.08
NGC3585,11.221414,-26.7548,9.69,G,6.61
NGC3590,11.216381,-60.7890,7.90,OC,5.10
NGC3593,11.243611,12.8177,10.91,G,4.69
NGC3596,11.251725,14.7870,11.19,G,3.55
NGC3607,11.281844,18.0518,10.00,G,4.59
NGC3608,11.283042,18.1487,10.63,G,3.18
NGC3610,11.307019,58.7863,10.77,G,2.39
NGC3613,11.310031,58.0000,10.81,G,3.55
NGC3621,11.304586,-32.8141,9.50,G,9.79
NGC3626,11.334392,18.3568,10.98,G,2.94
NGC3628,11.338047,13.5897,9.37,G,11.04
NGC3631,11.350797,53.1696,10.11,G,3.72
NGC3640,11.351903,3.2348,10.41,G,4.33
NGC3642,11.371636,59.0745,11.11,G,4.27
NGC3646,11.361967,20.1696,11.16,G,3.09
NGC3665,11.412131,38.7629,10.83,G,4.06
NGC3672,11.417353,-9.7954,11.34,G,2.90
NGC3675,11.435717,43.5859,10.09,G,5.90
NGC3680,11.426967,-43.2501,7.60,OC,5.70
NGC3686,11.462214,17.2242,11.40,G,2.88
NGC3690B,11.476008,58.5629,11.08,G,2.40
NGC3699,11.465875,-59.9581,10.40,PN,0.75
NGC3705,11.502072,9.2766,10.97,G,4.31
NGC3706,11.495675,-36.3913,11.30,G,3.10
NGC3717,11.525553,-30.3078,11.23,G,6.52
NGC3718,11.543014,53.0679,10.70,G,4.70
NGC3726,11.555867,47.0292,10.06,G,5.27
NGC3729,11.563700,53.1256,11.12,G,2.89
NGC3738,11.596886,54.5239,10.95,G,2.26
NGC3756,11.613339,54.2936,11.48,G,1.91
NGC3766,11.603997,-61.6052,5.06,OC,6.90
NGC3810,11.682989,11.4711,10.68,G,3.35
NGC3877,11.768806,47.4943,11.00,G,5.36
NGC3887,11.784603,-16.8546,10.80,G,3.27
NGC3892,11.800275,-10.9621,11.24,G,3.08
NGC3893,11.810608,48.7108,10.22,G,2.69
NGC3898,11.820936,56.0844,10.66,G,3.47
NGC3900,11.819294,27.0220,11.44,G,2.55
NGC3904,11.820339,-29.2767,10.79,G,3.47
NGC3918,11.838319,-57.1823,7.80,PN,0.32
NGC3923,11.850469,-28.8060,9.60,G,6.89
NGC3938,11.880403,44.1207,10.28,G,3.55
NGC3941,11.882044,36.9863,10.37,G,3.51
NGC3945,11.887147,60.6756,10.75,G,5.55
NGC3949,11.894922,47.8587,10.77,G,2.26
NGC3953,11.896922,52.3268,9.88,G,6.14
NGC3960,11.842558,-55.6698,8.30,OC,6.00
NGC3962,11.911139,-13.9750,10.65,G,4.17
NGC3982,11.941147,55.1253,11.21,G,2.13
NGC3998,11.965592,55.4536,10.81,G,2.78
NGC4013,11.975383,43.9466,11.31,G,4.89
NGC4026,11.990331,50.9617,10.78,G,4.41
NGC4027,11.991714,-19.2652,10.98,G,3.54
NGC4030,12.006564,-1.1001,10.51,G,3.78
NGC4036,12.024097,61.8958,10.84,G,4.85
NGC4038,12.031392,-18.8676,10.20,G,5.42
NGC4039,12.031531,-18.8862,10.44,G,5.36
NGC4041,12.036722,62.1372,11.05,G,2.57
NGC4051,12.052669,44.5313,10.17,G,4.89
NGC4052,12.034775,-63.2235,8.80,OC,5.10
NGC4062,12.067731,31.8958,11.15,G,4.14
NGC4064,12.069767,18.4434,11.33,G,3.22
NGC4088,12.092831,50.5390,10.60,G,7.01
NGC4096,12.100314,47.4784,10.50,G,5.65
NGC4100,12.102347,49.5827,11.09,G,4.56
NGC4102,12.106386,52.7111,11.48,G,2.94
NGC4103,12.110992,-61.2501,7.40,OC,7.80
NGC4105,12.111325,-29.7602,10.62,G,4.33
NGC4106,12.112444,-29.7683,11.30,G,4.14
NGC4111,12.117536,43.0657,10.81,G,1.78
NGC4119,12.136006,10.3789,11.50,G,1.58
NGC4123,12.136419,2.8783,11.36,G,3.18
NGC4125,12.135006,65.1741,9.71,G,5.87
NGC4136,12.154914,29.9276,11.30,G,2.34
NGC4143,12.160017,42.5342,11.23,G,2.73
NGC4144,12.166278,46.4572,11.44,G,5.24
NGC4145,12.167089,39.8839,11.18,G,4.62
NGC4147,12.168381,18.5421,10.74,GC,2.40
NGC4151,12.175717,39.4057,10.76,G,2.88
NGC4157,12.184547,50.4847,11.29,G,6.22
NGC4168,12.204797,13.2052,11.43,G,2.92
NGC4178,12.212903,10.8660,11.32,G,4.66
NGC4179,12.214475,1.2997,10.93,G,4.48
NGC4203,12.251406,33.1973,11.12,G,3.42
NGC4208,12.260933,13.9015,11.10,G,2.80
NGC4214,12.260881,36.3269,9.61,G,6.79
NGC4216,12.265122,13.1494,9.93,G,7.82
NGC4217,12.264139,47.0918,11.23,G,5.43
NGC4220,12.269919,47.8833,11.33,G,3.30
NGC4230,12.285936,-55.2861,9.40,OC,5.40
NGC4236,12.278367,69.4626,9.46,G,23.50
NGC4242,12.291717,45.6193,10.99,G,3.80
NGC4244,12.291572,37.8071,9.84,G,16.22
NGC4245,12.293547,29.6080,11.42,G,2.55
NGC4251,12.302292,28.1754,10.77,G,2.34
NGC4261,12.323117,5.8252,10.58,G,4.25
NGC4262,12.325158,14.8777,11.46,G,1.74
NGC4267,12.329233,12.7983,10.89,G,2.55
NGC4274,12.330719,29.6145,10.42,G,3.63
NGC4278,12.335228,29.2807,10.21,G,2.89
NGC4281,12.339311,5.3864,11.31,G,2.85
NGC4291,12.338389,75.3708,11.42,G,1.93
NGC4293,12.353581,18.3824,10.17,G,6.24
NGC4298,12.359100,14.6062,11.34,G,2.54
NGC4314,12.375506,29.8959,10.57,G,3.70
NGC4324,12.385050,5.2503,11.50,G,2.96
NGC4337,12.400919,-58.1238,8.84,OC,6.60
NGC4339,12.393042,6.0817,11.41,G,2.32
NGC4340,12.393136,16.7224,11.15,G,2.82
NGC4349,12.401678,-61.8704,7.40,OC,6.30
NGC4350,12.399408,16.6934,10.87,G,2.80
NGC4361,12.408544,-18.7848,9.70,PN,1.05
NGC4365,12.407856,7.3177,9.43,G,5.12
NGC4371,12.415397,11.7042,10.83,G,3.88
NGC4372,12.429272,-72.6591,9.85,GC,12.00
NGC4373,12.421617,-39.7597,10.92,G,3.98
NGC4378,12.421694,4.9251,11.29,G,2.09
NGC4380,12.422825,10.0168,11.29,G,3.35
NGC4388,12.429653,12.6621,11.02,G,5.38
NGC4394,12.432092,18.2141,11.03,G,3.48
NGC4395,12.430239,33.5469,10.24,G,4.17
NGC4414,12.440861,31.2235,10.20,G,1.95
NGC4417,12.447392,9.5843,11.22,G,3.09
NGC4419,12.449011,15.0474,11.06,G,3.89
NGC4421,12.450706,15.4615,11.42,G,2.59
NGC4429,12.457364,11.1077,10.08,G,5.30
NGC4435,12.461247,13.0789,10.93,G,3.03
NGC4438,12.462664,13.0088,10.37,G,9.16
NGC4439,12.473986,-60.1032,8.13,OC,4.50
NGC4442,12.467744,9.8037,10.60,G,4.32
NGC4448,12.470953,28.6203,11.11,G,1.58
NGC4449,12.469750,44.0936,8.90,G,4.66
NGC4450,12.474897,17.0849,10.21,G,5.46
NGC4457,12.483058,3.5706,10.57,G,2.79
NGC4459,12.483336,13.9784,10.25,G,4.17
NGC4461,12.484169,13.1837,11.02,G,3.61
NGC4463,12.498672,-64.7897,7.02,OC,4.80
NGC4469,12.491119,8.7499,11.04,G,2.86
NGC4473,12.496908,13.4294,10.09,G,4.27
NGC4477,12.500611,13.6366,10.31,G,3.70
NGC4478,12.504839,12.3286,11.44,G,1.75
NGC4487,12.517906,-8.0539,11.18,G,3.46
NGC4490,12.510067,41.6439,9.16,G,6.71
NGC4494,12.523361,25.7752,9.80,G,4.35
NGC4503,12.535064,11.1764,10.97,G,3.48
NGC4517,12.545997,0.1150,10.48,G,9.02
NGC4526,12.567525,7.6995,9.59,G,6.95
NGC4527,12.569006,2.6537,10.50,G,6.30
NGC4535,12.572308,8.1978,9.89,G,8.15
NGC4536,12.574181,2.1881,10.47,G,7.08
NGC4546,12.591531,-3.7932,10.57,G,3.16
NGC4559,12.599347,27.9600,9.68,G,10.57
NGC4564,12.607494,11.4393,11.26,G,3.13
NGC4565,12.605772,25.9877,9.45,G,16.75
NGC4567,12.609086,11.2580,11.32,G,2.74
NGC4568,12.609517,11.2389,10.80,G,4.31
NGC4570,12.614833,7.2466,11.11,G,3.88
NGC4571,12.615661,14.2174,11.29,G,3.56
NGC4578,12.625156,9.5551,11.40,G,2.50
NGC4589,12.623608,74.1919,10.74,G,2.93
NGC4593,12.660953,-5.3442,11.28,G,2.40
NGC4596,12.665542,10.1761,10.46,G,3.93
NGC4605,12.666494,61.6092,10.22,G,5.87
NGC4608,12.687025,10.1557,11.08,G,2.88
NGC4609,12.704675,-62.9958,6.72,OC,5.40
NGC4612,12.692431,7.3149,11.50,G,2.57
NGC4618,12.692458,41.1508,10.71,G,3.56
NGC4631,12.702225,32.5415,8.87,G,14.45
NGC4636,12.713842,2.6878,9.44,G,6.35
NGC4638,12.713172,11.4425,11.12,G,2.31
NGC4639,12.714553,13.2574,11.48,G,2.87
NGC4643,12.722261,1.9783,10.62,G,2.24
NGC4647,12.725642,11.5819,11.00,G,2.75
NGC4651,12.728508,16.3934,10.77,G,3.87
NGC4654,12.732383,13.1267,10.49,G,4.72
NGC4660,12.742217,11.1905,11.27,G,2.09
NGC4664,12.751664,3.0558,10.50,G,4.52
NGC4666,12.752386,-0.4619,10.75,G,4.97
NGC4689,12.795989,13.7628,10.93,G,3.82
NGC4691,12.803786,-3.3327,10.92,G,3.03
NGC4696,12.813681,-41.3108,10.30,G,3.85
NGC4697,12.809967,-5.8007,9.37,G,7.14
NGC4698,12.806364,8.4874,10.65,G,3.81
NGC4699,12.817286,-8.6649,9.53,G,3.99
NGC4709,12.834411,-41.3820,11.10,G,3.09
NGC4710,12.827453,15.1654,10.71,G,4.39
NGC4725,12.840717,25.5008,9.32,G,9.71
NGC4731,12.850303,-6.3931,11.28,G,6.32
NGC4742,12.863344,-10.4547,11.20,G,2.14
NGC4750,12.835353,72.8746,11.19,G,2.40
NGC4753,12.872808,-1.1997,9.66,G,6.49
NGC4754,12.871528,11.3139,10.48,G,4.16
NGC4762,12.882236,11.2308,10.17,G,8.26
NGC4772,12.891433,2.1684,11.29,G,4.12
NGC4775,12.896028,-6.6222,10.93,G,2.22
NGC4781,12.906597,-10.5372,10.86,G,3.66
NGC4802,12.930456,-12.0553,11.34,G,2.64
NGC4815,12.966214,-64.9618,8.60,OC,3.90
NGC4818,12.946917,-8.5253,11.34,G,4.27
NGC4833,12.993039,-70.8746,7.79,GC,8.40
NGC4845,12.966997,1.5758,10.97,G,5.50
NGC4852,13.001219,-59.6094,8.90,OC,5.40
NGC4856,12.989242,-15.0422,10.62,G,4.25
NGC4866,12.990872,14.1711,11.08,G,5.77
NGC4889,13.002258,27.9770,11.45,G,2.59
NGC4900,13.010864,2.5014,11.29,G,2.13
NGC4902,13.016592,-14.5136,11.20,G,2.63
NGC4930,13.068131,-41.4116,11.43,G,3.54
NGC4936,13.071358,-30.5262,10.71,G,2.85
NGC4939,13.070664,-10.3396,11.29,G,5.71
NGC4941,13.070317,-5.5516,11.27,G,3.29
NGC4945,13.090967,-49.4682,8.68,G,23.33
NGC4958,13.096911,-8.0203,10.59,G,4.79
NGC4976,13.143758,-49.5064,10.08,G,5.83
NGC4981,13.146872,-6.7775,11.41,G,2.70
NGC4984,13.149231,-15.5163,11.01,G,3.37
NGC4995,13.161292,-7.8334,11.11,G,2.43
NGC5005,13.182286,37.0592,9.94,G,4.82
NGC5011,13.214406,-43.0962,11.38,G,2.92
NGC5018,13.216953,-19.5182,10.85,G,3.49
NGC5033,13.224297,36.5939,10.10,G,9.84
NGC5044,13.256658,-16.3855,10.78,G,3.66
NGC5053,13.274164,17.6977,9.96,GC,4.80
NGC5054,13.282914,-16.6349,10.79,G,5.04
NGC5061,13.301408,-26.8372,10.31,G,3.75
NGC5068,13.315225,-21.0391,10.04,G,7.48
NGC5078,13.330550,-27.4104,10.64,G,2.56
NGC5084,13.338033,-21.8276,10.49,G,9.93
NGC5087,13.340267,-20.6110,11.13,G,2.99
NGC5090,13.353561,-43.7046,11.28,G,3.51
NGC5101,13.362844,-27.4305,10.46,G,5.90
NGC5102,13.366003,-36.6303,9.66,G,9.71
NGC5120,13.427614,-63.4583,10.80,OC,0.00
NGC5128,13.424339,-43.0191,7.19,G,25.88
NGC5138,13.454225,-59.0409,5.33,OC,4.20
NGC5139,13.446081,-47.4769,5.33,GC,27.00
NGC5161,13.487197,-33.1738,11.43,G,5.36
NGC5168,13.518125,-60.9392,8.95,OC,4.20
NGC5170,13.496886,-17.9664,11.23,G,7.96
NGC5189,13.559142,-65.9741,9.70,PN,2.33
NGC5195,13.499886,47.2661,9.58,G,5.50
NGC5204,13.493475,58.4187,11.12,G,4.50
NGC5206,13.562217,-48.1512,10.49,G,4.26
NGC5247,13.634178,-17.8840,10.17,G,5.32
NGC5248,13.625561,8.8852,9.97,G,4.07
NGC5253,13.665544,-31.6401,10.20,G,5.01
NGC5266,13.717253,-48.1694,10.77,G,2.92
NGC5281,13.776431,-62.9165,5.55,OC,6.90
NGC5286,13.774050,-51.3735,8.31,GC,6.60
NGC5307,13.850917,-51.2058,11.20,PN,0.21
NGC5308,13.783453,60.9732,11.32,G,4.33
NGC5315,13.899136,-66.5142,9.80,PN,0.10
NGC5316,13.899228,-61.8691,5.48,OC,9.90
NGC5322,13.820908,60.1905,10.14,G,5.62
NGC5350,13.889342,40.3639,11.47,G,2.69
NGC5353,13.890747,40.2830,11.02,G,2.37
NGC5354,13.890750,40.3027,11.38,G,3.03
NGC5363,13.935336,5.2548,10.21,G,4.17
NGC5364,13.936667,5.0145,10.52,G,3.80
NGC5365,13.964067,-43.9313,11.32,G,3.88
NGC5371,13.927761,40.4618,10.68,G,3.98
NGC5377,13.937964,47.2357,11.27,G,3.64
NGC5419,14.060758,-33.9783,10.77,G,3.98
NGC5427,14.057236,-6.0308,11.36,G,3.61
NGC5460,14.124392,-48.3425,5.25,OC,13.20
NGC5466,14.090933,28.5345,9.70,GC,6.60
NGC5473,14.078675,54.8926,11.47,G,1.99
NGC5474,14.083781,53.6622,10.88,G,2.39
NGC5483,14.173619,-43.3246,11.13,G,3.42
NGC5485,14.119819,55.0017,11.50,G,2.51
NGC5493,14.191494,-5.0436,11.42,G,2.17
NGC5530,14.307542,-43.3886,11.19,G,4.86
NGC5557,14.307144,36.4936,11.02,G,2.28
NGC5566,14.338858,3.9338,10.51,G,5.36
NGC5576,14.351022,3.2710,10.90,G,2.83
NGC5585,14.330056,56.7291,10.79,G,4.27
NGC5606,14.463133,-59.6322,7.35,OC,3.60
NGC5617,14.495575,-60.7108,6.30,OC,5.10
NGC5634,14.493689,-5.9764,10.05,GC,4.50
NGC5638,14.494550,3.2333,11.21,G,1.94
NGC5643,14.544650,-44.1744,10.19,G,5.27
NGC5662,14.593772,-56.6181,5.50,OC,8.10
NGC5676,14.546347,49.4579,11.22,G,3.59
NGC5678,14.534892,57.9214,11.42,G,2.96
NGC5694,14.660142,-26.5383,10.89,GC,3.30
NGC5701,14.653078,5.3635,11.20,G,2.00
NGC5713,14.669864,-0.2890,11.02,G,2.47
NGC5715,14.724914,-57.5770,9.80,OC,3.60
NGC5746,14.748867,1.9550,10.55,G,7.24
NGC5749,14.814983,-54.4977,8.80,OC,7.20
NGC5775,14.899333,3.5444,11.43,G,3.70
NGC5792,14.972975,-1.0911,11.26,G,3.55
NGC5812,15.015472,-7.4574,11.23,G,2.66
NGC5813,15.019786,1.7020,10.53,G,4.13
NGC5822,15.072569,-54.3964,6.50,OC,18.00
NGC5823,15.091842,-55.6037,7.90,OC,3.90
NGC5824,15.066289,-33.0681,9.56,GC,5.10
NGC5831,15.068611,1.2199,11.46,G,2.24
NGC5838,15.090628,2.0993,10.81,G,3.86
NGC5845,15.100225,1.6338,11.40,G,1.00
NGC5846,15.108133,1.6056,10.18,G,4.27
NGC5850,15.118803,1.5442,11.00,G,3.35
NGC5866,15.108194,55.7632,9.89,G,6.31
NGC5873,15.214111,-38.1256,11.00,PN,0.12
NGC5879,15.162981,57.0002,11.47,G,3.79
NGC5882,15.280556,-45.6493,10.18,PN,0.23
NGC5897,15.290111,-21.0101,8.52,GC,9.90
NGC5898,15.303767,-24.0979,11.38,G,2.66
NGC5903,15.310147,-24.0686,11.27,G,3.00
NGC5907,15.264936,56.3288,10.37,G,11.30
NGC5921,15.365711,5.0705,11.02,G,3.02
NGC5925,15.457450,-54.5288,8.40,OC,4.80
NGC5927,15.466786,-50.6728,8.86,GC,6.60
NGC5938,15.607297,-66.8597,11.49,G,2.31
NGC5946,15.591269,-50.6597,10.72,GC,3.60
NGC5962,15.608800,16.6078,11.49,G,2.48
NGC5970,15.641658,12.1866,11.40,G,2.77
NGC5979,15.794739,-61.2179,11.20,PN,0.13
NGC5982,15.644397,59.3558,11.07,G,3.07
NGC5985,15.660303,59.3319,11.35,G,3.98
NGC5986,15.767622,-37.7861,6.92,GC,5.40
NGC5999,15.869064,-56.4728,9.00,OC,3.30
NGC6005,15.930194,-57.4374,10.70,OC,4.20
NGC6015,15.857008,62.3100,11.01,G,5.81
NGC6025,16.054942,-60.4314,4.66,OC,11.40
NGC6031,16.126494,-54.0149,8.32,OC,4.80
NGC6067,16.219736,-54.2189,5.60,OC,8.10
NGC6087,16.314050,-57.9346,5.25,OC,10.20
NGC6101,16.430158,-72.2016,10.08,GC,4.50
NGC6115,16.407328,-51.9482,9.69,OC,4.50
NGC6124,16.422239,-40.6537,5.80,OC,13.50
NGC6134,16.462917,-49.1512,7.20,OC,6.90
NGC6139,16.461253,-38.8498,9.68,GC,4.50
NGC6144,16.453928,-26.0247,9.63,GC,5.40
NGC6152,16.546006,-52.6440,8.10,OC,6.60
NGC6153,16.525178,-40.2534,10.90,PN,0.40
NGC6164,16.561622,-48.0801,6.52,N,1.41
NGC6165,16.567625,-48.1505,6.52,N,2.50
NGC6167,16.576383,-49.7719,6.70,OC,7.20
NGC6169,16.567953,-44.0456,6.60,OC,4.20
NGC6178,16.596458,-45.6437,6.68,OC,6.90
NGC6192,16.673297,-43.3668,8.50,OC,7.50
NGC6200,16.735375,-47.4627,7.14,OC,8.10
NGC6204,16.769306,-47.0170,7.91,OC,4.50
NGC6207,16.717708,36.8324,11.26,G,3.46
NGC6208,16.824497,-53.7283,7.20,OC,8.40
NGC6210,16.741533,23.7998,9.65,PN,0.50
NGC6215,16.851892,-58.9935,11.16,G,2.64
NGC6216,16.823225,-44.7315,10.10,OC,4.20
NGC6217,16.544222,78.1982,11.28,G,2.24
NGC6221,16.879467,-59.2186,10.13,G,4.84
NGC6229,16.783017,47.5278,8.78,GC,4.80
NGC6231,16.903033,-41.8243,2.23,OC,13.80
NGC6235,16.890378,-22.1774,7.20,GC,4.20
NGC6242,16.925956,-39.4609,6.40,OC,6.60
NGC6249,16.961528,-44.8119,8.12,OC,7.60
NGC6250,16.965575,-45.9366,5.54,OC,9.60
NGC6253,16.984758,-52.7088,10.20,OC,6.00
NGC6259,17.012611,-44.6550,8.00,OC,6.00
NGC6268,17.036219,-39.7282,9.50,OC,6.00
NGC6281,17.078139,-37.9852,5.18,OC,10.20
NGC6284,17.074653,-24.7643,7.43,GC,6.60
NGC6287,17.085928,-22.7080,10.30,GC,5.40
NGC6293,17.169558,-26.5817,9.02,GC,4.50
NGC6300,17.283186,-62.8206,10.27,G,5.33
NGC6302,17.229064,-37.1031,9.60,PN,0.74
NGC6304,17.242364,-29.4623,9.03,GC,3.60
NGC6309,17.234528,-12.9106,10.20,PN,0.26
NGC6316,17.277058,-28.1400,9.03,GC,4.80
NGC6322,17.307164,-42.9340,5.72,OC,6.30
NGC6325,17.299797,-23.7660,10.89,GC,4.02
NGC6337,17.371003,-38.4837,11.30,PN,0.85
NGC6340,17.173569,72.3044,11.11,G,3.04
NGC6342,17.352817,-19.5874,10.01,GC,6.60
NGC6352,17.424767,-48.4227,8.87,GC,7.20
NGC6355,17.399625,-26.3534,11.05,GC,2.70
NGC6356,17.393053,-17.8130,7.42,GC,5.40
NGC6362,17.531900,-67.0479,8.86,GC,8.40
NGC6369,17.489028,-23.7594,11.40,PN,0.63
NGC6374,17.578483,-32.5814,4.96,OC,6.90
NGC6384,17.540083,7.0603,10.63,G,2.45
NGC6388,17.604842,-44.7356,6.80,GC,8.40
NGC6396,17.626761,-35.0259,8.50,OC,3.30
NGC6397,17.678156,-53.6737,5.17,GC,15.30
NGC6400,17.670222,-36.9477,8.80,OC,6.00
NGC6401,17.643592,-23.9088,10.71,GC,4.50
NGC6404,17.660378,-33.2467,10.60,OC,4.20
NGC6425,17.783800,-31.5294,7.20,OC,4.80
NGC6440,17.814631,-20.3596,10.10,GC,5.10
NGC6441,17.836900,-37.0511,8.00,GC,4.80
NGC6445,17.820850,-20.0095,11.20,PN,0.55
NGC6451,17.844622,-30.2116,8.20,OC,7.20
NGC6453,17.847697,-34.5999,9.89,GC,5.40
NGC6469,17.886703,-22.2751,8.20,OC,9.00
NGC6482,17.863558,23.0719,11.33,G,2.03
NGC6496,17.984361,-44.2663,9.36,GC,4.62
NGC6503,17.824008,70.1444,10.12,G,5.94
NGC6507,17.997442,-17.4503,9.60,OC,4.80
NGC6517,18.030664,-8.9595,10.48,GC,4.80
NGC6520,18.056706,-27.8861,7.60,OC,5.40
NGC6522,18.059464,-30.0340,9.48,GC,3.90
NGC6526,18.068375,-24.4419,99.00,N,40.00
NGC6528,18.080447,-30.0558,10.65,GC,3.60
NGC6530,18.075286,-24.3581,4.14,OC,6.00
NGC6535,18.064081,-0.2969,9.85,GC,3.60
NGC6541,18.133981,-43.7159,7.32,GC,7.50
NGC6543,17.975942,66.6332,9.01,PN,0.90
NGC6544,18.122222,-24.9984,9.90,GC,6.00
NGC6546,18.122931,-23.2962,8.00,OC,6.90
NGC6553,18.154856,-25.9079,8.48,GC,5.40
NGC6558,18.171772,-31.7635,11.29,GC,5.40
